"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0045663","positive regulation of myoblast differentiation","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"PLCB1",1
"BP","GO:0045723","positive regulation of fatty acid biosynthetic process","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"MLXIPL",1
"BP","GO:0048199","vesicle targeting, to, from or within Golgi","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"MAPK15",1
"BP","GO:0050650","chondroitin sulfate proteoglycan biosynthetic process","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"CHST9",1
"BP","GO:0051957","positive regulation of amino acid transport","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"TRH",1
"BP","GO:0060117","auditory receptor cell development","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"PLS1",1
"BP","GO:0070920","regulation of production of small RNA involved in gene silencing by RNA","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"ESR1",1
"BP","GO:0097150","neuronal stem cell population maintenance","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"ASPM",1
"BP","GO:1902254","negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"MUC1",1
"BP","GO:1903861","positive regulation of dendrite extension","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"RIMS2",1
"BP","GO:1990840","response to lectin","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"MAP3K7",1
"BP","GO:1990858","cellular response to lectin","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"MAP3K7",1
"BP","GO:2000114","regulation of establishment of cell polarity","1/657","23/18800",0.558971185120269,0.877069509968001,0.781382180546227,"ANKFN1",1
"BP","GO:1903522","regulation of blood circulation","9/657","260/18800",0.559144911014248,0.877069509968001,0.781382180546227,"CXADR/S100A1/DSP/CHGA/CYP2J2/ATP2B2/FOXN4/DSC2/PDE4D",9
"BP","GO:1905475","regulation of protein localization to membrane","6/657","172/18800",0.559682527500137,0.87739401516352,0.781671282577926,"AGR2/PDZK1/PLS1/SLC7A11/GPC4/EZR",6
"BP","GO:0002526","acute inflammatory response","4/657","113/18800",0.560400048394764,0.87739401516352,0.781671282577926,"ORM2/S100A8/SIGIRR/ORM1",4
"BP","GO:0002832","negative regulation of response to biotic stimulus","4/657","113/18800",0.560400048394764,0.87739401516352,0.781671282577926,"CEACAM1/ARG2/SPINK5/SIGIRR",4
"BP","GO:0018958","phenol-containing compound metabolic process","4/657","113/18800",0.560400048394764,0.87739401516352,0.781671282577926,"PAX8/HPN/SLC7A11/TPH1",4
"BP","GO:1904659","glucose transmembrane transport","4/657","113/18800",0.560400048394764,0.87739401516352,0.781671282577926,"OCLN/FGF19/SLC5A1/SLC2A1",4
"BP","GO:0072503","cellular divalent inorganic cation homeostasis","17/657","494/18800",0.561156249735635,0.877627221659425,0.78187904649882,"CXCL13/ATP2C2/TAC1/CXCL10/ESR1/TRPV6/STC2/CXCL11/CACNA1S/ATP2B2/CACNA1E/S100A8/PDE4D/NPSR1/CCL28/ADCYAP1R1/S100A9",17
"BP","GO:0001508","action potential","5/657","143/18800",0.562826146524653,0.877627221659425,0.78187904649882,"CXADR/MYH14/DSP/PTPN3/DSC2",5
"BP","GO:0071456","cellular response to hypoxia","5/657","143/18800",0.562826146524653,0.877627221659425,0.78187904649882,"BMP7/STOX1/STC2/EGLN3/PMAIP1",5
"BP","GO:2001056","positive regulation of cysteine-type endopeptidase activity","5/657","143/18800",0.562826146524653,0.877627221659425,0.78187904649882,"EGLN3/S100A8/PERP/PMAIP1/S100A9",5
"BP","GO:0006936","muscle contraction","12/657","349/18800",0.564319410262552,0.877627221659425,0.78187904649882,"MYH14/DSP/TNNT1/CHGA/TBX20/ARG2/MAP2K6/CACNA1S/CCDC78/DSC2/PDE4D/SNTB1",12
"BP","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/657","173/18800",0.565377397560581,0.877627221659425,0.78187904649882,"FOXJ1/CEACAM1/PLA2G4A/AZGP1/C4BPA/MAP3K7",6
"BP","GO:0022406","membrane docking","3/657","84/18800",0.566493149509571,0.877627221659425,0.78187904649882,"RAB3IP/STXBP2/EZR",3
"BP","GO:0043200","response to amino acid","4/657","114/18800",0.56739945774531,0.877627221659425,0.78187904649882,"SIX1/NQO1/BCL11A/XBP1",4
"BP","GO:0090630","activation of GTPase activity","4/657","114/18800",0.56739945774531,0.877627221659425,0.78187904649882,"FOXJ1/CXCL13/RAP1GAP/NGEF",4
"BP","GO:0014888","striated muscle adaptation","2/657","54/18800",0.567451270552805,0.877627221659425,0.78187904649882,"TNNT1/EZH2",2
"BP","GO:0016925","protein sumoylation","2/657","54/18800",0.567451270552805,0.877627221659425,0.78187904649882,"EYA1/BCL11A",2
"BP","GO:0030520","intracellular estrogen receptor signaling pathway","2/657","54/18800",0.567451270552805,0.877627221659425,0.78187904649882,"FOXA1/ESR1",2
"BP","GO:0030834","regulation of actin filament depolymerization","2/657","54/18800",0.567451270552805,0.877627221659425,0.78187904649882,"ADD3/SPTBN2",2
"BP","GO:0071715","icosanoid transport","2/657","54/18800",0.567451270552805,0.877627221659425,0.78187904649882,"PLA2G4A/MAP2K6",2
"BP","GO:0086002","cardiac muscle cell action potential involved in contraction","2/657","54/18800",0.567451270552805,0.877627221659425,0.78187904649882,"DSP/DSC2",2
"BP","GO:0000302","response to reactive oxygen species","7/657","203/18800",0.567955575903247,0.877627221659425,0.78187904649882,"BMP7/AKR1C3/UCP2/SCGB1A1/CDK1/NQO1/EZH2",7
"BP","GO:0071383","cellular response to steroid hormone stimulus","7/657","203/18800",0.567955575903247,0.877627221659425,0.78187904649882,"SCGB2A1/SCGB2A2/FOXA1/ESR1/BMP7/ESRRG/AKR1C3",7
"BP","GO:0014065","phosphatidylinositol 3-kinase signaling","5/657","144/18800",0.569050300309285,0.877627221659425,0.78187904649882,"ERBB4/ERBB3/SOX9/CEP55/CEACAM1",5
"BP","GO:0009314","response to radiation","15/657","438/18800",0.569278777050123,0.877627221659425,0.78187904649882,"CXCL10/EYA1/PLEKHB1/SERPINB13/PBK/IVL/DTL/XRCC2/RP1/SLC7A11/CPT1B/TICRR/CDS1/CRIP1/PPP1R1B",15
"BP","GO:0048771","tissue remodeling","6/657","174/18800",0.571036802708425,0.877627221659425,0.78187904649882,"ELF3/BSX/IHH/CEACAM1/IL20RA/FGF8",6
"BP","GO:0032535","regulation of cellular component size","12/657","351/18800",0.572340291901046,0.877627221659425,0.78187904649882,"ADD3/KCNN4/FSTL4/CRABP2/BAIAP2L1/SPTBN2/PLS1/EPHA7/SLC12A8/SEMA3E/ARHGAP40/EZR",12
"BP","GO:0003018","vascular process in circulatory system","9/657","263/18800",0.573037665059426,0.877627221659425,0.78187904649882,"SLC29A2/OCLN/SLC15A2/CEACAM1/SLC6A20/LRP2/SLC5A1/SLC16A12/SLC2A1",9
"BP","GO:0017157","regulation of exocytosis","7/657","204/18800",0.573179893618004,0.877627221659425,0.78187904649882,"STXBP6/EXPH5/CEACAM1/BAIAP3/TRPV6/RIMS2/STXBP2",7
"BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","7/657","204/18800",0.573179893618004,0.877627221659425,0.78187904649882,"EGLN3/EPHA7/S100A8/BIRC5/SFN/PMAIP1/S100A9",7
"BP","GO:0030518","intracellular steroid hormone receptor signaling pathway","4/657","115/18800",0.574336828482614,0.877627221659425,0.78187904649882,"SCGB2A1/SCGB2A2/FOXA1/ESR1",4
"BP","GO:0046916","cellular transition metal ion homeostasis","4/657","115/18800",0.574336828482614,0.877627221659425,0.78187904649882,"CP/LCN2/S100A8/S100A9",4
"BP","GO:1990748","cellular detoxification","4/657","115/18800",0.574336828482614,0.877627221659425,0.78187904649882,"GPX2/BMP7/NQO1/S100A9",4
"BP","GO:0001778","plasma membrane repair","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"CHMP4C",1
"BP","GO:0001964","startle response","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"CTNNA2",1
"BP","GO:0002755","MyD88-dependent toll-like receptor signaling pathway","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"MAP3K7",1
"BP","GO:0002922","positive regulation of humoral immune response","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"KLK7",1
"BP","GO:0006213","pyrimidine nucleoside metabolic process","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"TK1",1
"BP","GO:0006582","melanin metabolic process","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"SLC7A11",1
"BP","GO:0010560","positive regulation of glycoprotein biosynthetic process","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"PLCB1",1
"BP","GO:0016048","detection of temperature stimulus","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"ANO1",1
"BP","GO:0017121","plasma membrane phospholipid scrambling","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"ATG9B",1
"BP","GO:0022010","central nervous system myelination","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"MAL",1
"BP","GO:0030539","male genitalia development","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"FGF8",1
"BP","GO:0030859","polarized epithelial cell differentiation","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"CAMSAP3",1
"BP","GO:0032291","axon ensheathment in central nervous system","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"MAL",1
"BP","GO:0034315","regulation of Arp2/3 complex-mediated actin nucleation","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"CTNNA2",1
"BP","GO:0035561","regulation of chromatin binding","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"CDT1",1
"BP","GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"MUC1",1
"BP","GO:0036010","protein localization to endosome","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"EZR",1
"BP","GO:0038095","Fc-epsilon receptor signaling pathway","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"MAP3K7",1
"BP","GO:0039531","regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"TRIM15",1
"BP","GO:0043501","skeletal muscle adaptation","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"TNNT1",1
"BP","GO:0044062","regulation of excretion","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"NPSR1",1
"BP","GO:0051043","regulation of membrane protein ectodomain proteolysis","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"PTPN3",1
"BP","GO:0051156","glucose 6-phosphate metabolic process","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"HKDC1",1
"BP","GO:0051923","sulfation","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"SULT2B1",1
"BP","GO:0060143","positive regulation of syncytium formation by plasma membrane fusion","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"SCGB3A1",1
"BP","GO:0060563","neuroepithelial cell differentiation","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"FGF8",1
"BP","GO:0070841","inclusion body assembly","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"UBD",1
"BP","GO:0071676","negative regulation of mononuclear cell migration","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"PLCB1",1
"BP","GO:0072202","cell differentiation involved in metanephros development","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"PAX8",1
"BP","GO:0072530","purine-containing compound transmembrane transport","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"SLC29A2",1
"BP","GO:0120255","olefinic compound biosynthetic process","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"AKR1C3",1
"BP","GO:1901863","positive regulation of muscle tissue development","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"ERBB3",1
"BP","GO:1903792","negative regulation of anion transport","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"TRH",1
"BP","GO:2000353","positive regulation of endothelial cell apoptotic process","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"AKR1C3",1
"BP","GO:2000679","positive regulation of transcription regulatory region DNA binding","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"PAX6",1
"BP","GO:2001026","regulation of endothelial cell chemotaxis","1/657","24/18800",0.574402613536735,0.877627221659425,0.78187904649882,"CXCL13",1
"BP","GO:0010657","muscle cell apoptotic process","3/657","85/18800",0.574560769875077,0.877627221659425,0.78187904649882,"PAX8/LYPD3/BMP7",3
"BP","GO:0071229","cellular response to acid chemical","3/657","85/18800",0.574560769875077,0.877627221659425,0.78187904649882,"SIX1/BCL11A/XBP1",3
"BP","GO:2000106","regulation of leukocyte apoptotic process","3/657","85/18800",0.574560769875077,0.877627221659425,0.78187904649882,"ARG2/IDO1/SLC7A11",3
"BP","GO:0007269","neurotransmitter secretion","5/657","145/18800",0.575228546956225,0.877627221659425,0.78187904649882,"BAIAP3/CPLX3/RIMS2/SYN2/STXBP2",5
"BP","GO:0007612","learning","5/657","145/18800",0.575228546956225,0.877627221659425,0.78187904649882,"DKK1/PLCB1/SLC7A11/PPP1R1B/PAK6",5
"BP","GO:0015748","organophosphate ester transport","5/657","145/18800",0.575228546956225,0.877627221659425,0.78187904649882,"KCNN4/SLC44A4/ABCA12/ATG9B/ATP10B",5
"BP","GO:0099643","signal release from synapse","5/657","145/18800",0.575228546956225,0.877627221659425,0.78187904649882,"BAIAP3/CPLX3/RIMS2/SYN2/STXBP2",5
"BP","GO:0051960","regulation of nervous system development","15/657","440/18800",0.57644380331562,0.878494420947048,0.782651635287542,"SPINT1/TP73/FSTL4/BMP7/CRABP2/LRP2/LRRTM1/NCMAP/EPHA7/XRCC2/PAX6/ASPM/EZH2/DKK1/SEMA3E",15
"BP","GO:0001954","positive regulation of cell-matrix adhesion","2/657","55/18800",0.577476260937952,0.878494420947048,0.782651635287542,"CEACAM6/CCL28",2
"BP","GO:0003179","heart valve morphogenesis","2/657","55/18800",0.577476260937952,0.878494420947048,0.782651635287542,"SOX9/TBX20",2
"BP","GO:0031113","regulation of microtubule polymerization","2/657","55/18800",0.577476260937952,0.878494420947048,0.782651635287542,"OCLN/CAMSAP3",2
"BP","GO:0043647","inositol phosphate metabolic process","2/657","55/18800",0.577476260937952,0.878494420947048,0.782651635287542,"PLCB1/ADCYAP1R1",2
"BP","GO:0045620","negative regulation of lymphocyte differentiation","2/657","55/18800",0.577476260937952,0.878494420947048,0.782651635287542,"FOXJ1/IHH",2
"BP","GO:0061098","positive regulation of protein tyrosine kinase activity","2/657","55/18800",0.577476260937952,0.878494420947048,0.782651635287542,"ERBB3/DOK7",2
"BP","GO:1905517","macrophage migration","2/657","55/18800",0.577476260937952,0.878494420947048,0.782651635287542,"CXCL17/CD9",2
"BP","GO:0007623","circadian rhythm","7/657","205/18800",0.578374380855578,0.879221497958806,0.783299388988264,"CLDN4/RORC/CDK1/TOP2A/TYMS/HNF1B/EZH2",7
"BP","GO:0032869","cellular response to insulin stimulus","7/657","205/18800",0.578374380855578,0.879221497958806,0.783299388988264,"VWA2/SLC29A2/BAIAP2L1/CEACAM1/UCP2/XBP1/DNAI1",7
"BP","GO:0044106","cellular amine metabolic process","4/657","116/18800",0.581211081584097,0.882558651421742,0.786272462638699,"TRH/SAT1/IDO1/SLC7A11",4
"BP","GO:1901800","positive regulation of proteasomal protein catabolic process","4/657","116/18800",0.581211081584097,0.882558651421742,0.786272462638699,"CDC20B/SH3RF2/CDC20/PLK1",4
"BP","GO:0009411","response to UV","5/657","146/18800",0.581360004985961,0.882558651421742,0.786272462638699,"SERPINB13/PBK/IVL/DTL/CRIP1",5
"BP","GO:0060284","regulation of cell development","17/657","500/18800",0.581413190434825,0.882558651421742,0.786272462638699,"OLFM4/SPINT1/TACSTD2/TP73/FSTL4/BMP7/CRABP2/LRP2/EPHA7/XRCC2/F11R/PAX6/BCL11A/ASPM/EZH2/PLCB1/SEMA3E",17
"BP","GO:0099175","regulation of postsynapse organization","3/657","86/18800",0.58253407250316,0.88267685645893,0.786377771634919,"KIF1A/EPHA7/NGEF",3
"BP","GO:0033673","negative regulation of kinase activity","8/657","236/18800",0.585066755001524,0.88267685645893,0.786377771634919,"CBLC/BMP7/CEACAM1/PTK6/DBNDD1/SFN/PPP1R1B/PLK1",8
"BP","GO:0010332","response to gamma radiation","2/657","56/18800",0.587330112516846,0.88267685645893,0.786377771634919,"CXCL10/XRCC2",2
"BP","GO:0010676","positive regulation of cellular carbohydrate metabolic process","2/657","56/18800",0.587330112516846,0.88267685645893,0.786377771634919,"PMAIP1/ADCYAP1R1",2
"BP","GO:0043113","receptor clustering","2/657","56/18800",0.587330112516846,0.88267685645893,0.786377771634919,"PIGR/SLC7A11",2
"BP","GO:0045806","negative regulation of endocytosis","2/657","56/18800",0.587330112516846,0.88267685645893,0.786377771634919,"PROM2/LRRTM1",2
"BP","GO:0048016","inositol phosphate-mediated signaling","2/657","56/18800",0.587330112516846,0.88267685645893,0.786377771634919,"HOMER2/ERBB3",2
"BP","GO:0050433","regulation of catecholamine secretion","2/657","56/18800",0.587330112516846,0.88267685645893,0.786377771634919,"CHGA/FGF20",2
"BP","GO:0061756","leukocyte adhesion to vascular endothelial cell","2/657","56/18800",0.587330112516846,0.88267685645893,0.786377771634919,"GCNT1/CCL28",2
"BP","GO:0034614","cellular response to reactive oxygen species","5/657","147/18800",0.587443834790954,0.88267685645893,0.786377771634919,"BMP7/AKR1C3/CDK1/NQO1/EZH2",5
"BP","GO:2000377","regulation of reactive oxygen species metabolic process","5/657","147/18800",0.587443834790954,0.88267685645893,0.786377771634919,"TFAP2A/BMP7/AKR1C3/FOXM1/ARG2",5
"BP","GO:0008645","hexose transmembrane transport","4/657","117/18800",0.588021205569811,0.88267685645893,0.786377771634919,"OCLN/FGF19/SLC5A1/SLC2A1",4
"BP","GO:0042752","regulation of circadian rhythm","4/657","117/18800",0.588021205569811,0.88267685645893,0.786377771634919,"RORC/CDK1/TOP2A/EZH2",4
"BP","GO:0001911","negative regulation of leukocyte mediated cytotoxicity","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"CEACAM1",1
"BP","GO:0006658","phosphatidylserine metabolic process","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"SERINC2",1
"BP","GO:0009147","pyrimidine nucleoside triphosphate metabolic process","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"TYMS",1
"BP","GO:0009164","nucleoside catabolic process","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"GDA",1
"BP","GO:0009219","pyrimidine deoxyribonucleotide metabolic process","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"TYMS",1
"BP","GO:0014047","glutamate secretion","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"TRH",1
"BP","GO:0031579","membrane raft organization","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"MAL",1
"BP","GO:0031639","plasminogen activation","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"HPN",1
"BP","GO:0032967","positive regulation of collagen biosynthetic process","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"IHH",1
"BP","GO:0042178","xenobiotic catabolic process","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"CYP3A5",1
"BP","GO:0044550","secondary metabolite biosynthetic process","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"SLC7A11",1
"BP","GO:0045932","negative regulation of muscle contraction","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"TNNT1",1
"BP","GO:0046639","negative regulation of alpha-beta T cell differentiation","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"IHH",1
"BP","GO:0046835","carbohydrate phosphorylation","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"HKDC1",1
"BP","GO:0060074","synapse maturation","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"CDC20",1
"BP","GO:0062149","detection of stimulus involved in sensory perception of pain","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"ANO1",1
"BP","GO:0086064","cell communication by electrical coupling involved in cardiac conduction","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"PDE4D",1
"BP","GO:0098581","detection of external biotic stimulus","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"DMBT1",1
"BP","GO:0099560","synaptic membrane adhesion","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"GPC4",1
"BP","GO:1901071","glucosamine-containing compound metabolic process","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"OVGP1",1
"BP","GO:1903306","negative regulation of regulated secretory pathway","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"CEACAM1",1
"BP","GO:1905523","positive regulation of macrophage migration","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"CXCL17",1
"BP","GO:2000311","regulation of AMPA receptor activity","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"SHISA9",1
"BP","GO:2000463","positive regulation of excitatory postsynaptic potential","1/657","25/18800",0.589294895327658,0.88267685645893,0.786377771634919,"RIMS2",1
"BP","GO:0050829","defense response to Gram-negative bacterium","3/657","87/18800",0.590411937502266,0.883717438643413,0.787304827435067,"CHGA/DMBT1/DEFB1",3
"BP","GO:1990542","mitochondrial transmembrane transport","3/657","87/18800",0.590411937502266,0.883717438643413,0.787304827435067,"UCP2/DNAJC15/CPT1B",3
"BP","GO:0048511","rhythmic process","10/657","297/18800",0.592776961501365,0.886940144398717,0.790175939498272,"CLDN4/ESR1/RORC/CDK1/TOP2A/TYMS/DTL/MAP2K6/HNF1B/EZH2",10
"BP","GO:0001541","ovarian follicle development","2/657","57/18800",0.59701252627135,0.889023278997235,0.79203180637822,"ESR1/DMRTA1",2
"BP","GO:0046456","icosanoid biosynthetic process","2/657","57/18800",0.59701252627135,0.889023278997235,0.79203180637822,"AKR1C3/PLA2G4A",2
"BP","GO:0050432","catecholamine secretion","2/657","57/18800",0.59701252627135,0.889023278997235,0.79203180637822,"CHGA/FGF20",2
"BP","GO:0051289","protein homotetramerization","2/657","57/18800",0.59701252627135,0.889023278997235,0.79203180637822,"AQP5/TK1",2
"BP","GO:0070228","regulation of lymphocyte apoptotic process","2/657","57/18800",0.59701252627135,0.889023278997235,0.79203180637822,"ARG2/IDO1",2
"BP","GO:0070534","protein K63-linked ubiquitination","2/657","57/18800",0.59701252627135,0.889023278997235,0.79203180637822,"UBE2T/TRAF3IP2",2
"BP","GO:2000142","regulation of DNA-templated transcription, initiation","2/657","57/18800",0.59701252627135,0.889023278997235,0.79203180637822,"ESR1/HNF1B",2
"BP","GO:0002709","regulation of T cell mediated immunity","3/657","88/18800",0.598193362601294,0.889023278997235,0.79203180637822,"CEACAM1/AZGP1/MAP3K7",3
"BP","GO:0007029","endoplasmic reticulum organization","3/657","88/18800",0.598193362601294,0.889023278997235,0.79203180637822,"MAPK15/STX18/SPTSSB",3
"BP","GO:0008361","regulation of cell size","6/657","179/18800",0.598776526824638,0.889023278997235,0.79203180637822,"KCNN4/FSTL4/CRABP2/EPHA7/SLC12A8/SEMA3E",6
"BP","GO:0051056","regulation of small GTPase mediated signal transduction","10/657","299/18800",0.601287666180721,0.889023278997235,0.79203180637822,"EPS8L1/ARHGAP8/FOXM1/RAP1GAP/F11R/PLEKHG6/AMOT/ARHGAP40/NGEF/ADCYAP1R1",10
"BP","GO:0015749","monosaccharide transmembrane transport","4/657","119/18800",0.601445349459432,0.889023278997235,0.79203180637822,"OCLN/FGF19/SLC5A1/SLC2A1",4
"BP","GO:2000278","regulation of DNA biosynthetic process","4/657","119/18800",0.601445349459432,0.889023278997235,0.79203180637822,"GRHL2/NEK2/MAPK15/GINS1",4
"BP","GO:0001702","gastrulation with mouth forming second","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"AMOT",1
"BP","GO:0001783","B cell apoptotic process","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"TRAF3IP2",1
"BP","GO:0002026","regulation of the force of heart contraction","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"CHGA",1
"BP","GO:0002726","positive regulation of T cell cytokine production","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"MAP3K7",1
"BP","GO:0003094","glomerular filtration","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"RHPN2",1
"BP","GO:0006972","hyperosmotic response","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"SLC2A1",1
"BP","GO:0009435","NAD biosynthetic process","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"IDO1",1
"BP","GO:0010714","positive regulation of collagen metabolic process","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"IHH",1
"BP","GO:0010954","positive regulation of protein processing","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"HPN",1
"BP","GO:0019883","antigen processing and presentation of endogenous antigen","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"AZGP1",1
"BP","GO:0031664","regulation of lipopolysaccharide-mediated signaling pathway","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"SIGIRR",1
"BP","GO:0031954","positive regulation of protein autophosphorylation","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"TOM1L1",1
"BP","GO:0032515","negative regulation of phosphoprotein phosphatase activity","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"PPP1R1B",1
"BP","GO:0032878","regulation of establishment or maintenance of cell polarity","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"ANKFN1",1
"BP","GO:0033598","mammary gland epithelial cell proliferation","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"ESR1",1
"BP","GO:0033622","integrin activation","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"CXCL13",1
"BP","GO:0034389","lipid droplet organization","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"CDS1",1
"BP","GO:0045026","plasma membrane fusion","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"CD9",1
"BP","GO:0045324","late endosome to vacuole transport","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"CHMP4C",1
"BP","GO:0045822","negative regulation of heart contraction","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"PDE4D",1
"BP","GO:0046037","GMP metabolic process","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"GDA",1
"BP","GO:0046339","diacylglycerol metabolic process","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"MOGAT1",1
"BP","GO:0046755","viral budding","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"CHMP4C",1
"BP","GO:0048499","synaptic vesicle membrane organization","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"CPLX3",1
"BP","GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"KCNN4",1
"BP","GO:0050951","sensory perception of temperature stimulus","1/657","26/18800",0.60366683960301,0.889023278997235,0.79203180637822,"ANO1",1
